,Product name,Price,Review out of 5
76,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹12,499",4.4
77,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)","₹39,999",4.5
78,"realme Gt 7 (Icesense Blue, 256 GB)","₹39,999",4.3
79,"realme P3 Pro 5G (Nebula Glow, 256 GB)","₹22,999",4.4
80,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,249",4.2
81,"realme P4 Pro 5G (Birch Wood, 256 GB)","₹28,999",4.4
82,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999",4.4
83,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)","₹44,999",4.6
84,"realme Gt 7 (Icesense Blue, 256 GB)","₹36,999",4.5
85,"realme P3 5G (Space Silver, 128 GB)","₹16,999",4.4
86,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹10,999",4.2
87,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹9,999",4.2
88,"realme 15 5G (Flowing Silver, 256 GB)","₹27,999",4.4
89,"realme 14 Pro+ 5G (Pearl White, 512 GB)","₹30,999",4.4
90,"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,08,990",4.7
91,"realme P4 5G (Steel Grey, 128 GB)","₹19,499",4.4
92,"Samsung Galaxy F36 5G (Red, 128 GB)","₹16,999",4.3
93,"Samsung Galaxy S25 Plus 5G (Silver Shadow, 256 GB)","₹75,999",4.7
94,"realme Narzo 80 Lite 4G (Beach Gold, 128 GB)","₹8,999",4.3
95,"realme P4 Pro 5G (Midnight Ivy, 256 GB)","₹28,999",4.4
96,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹39,999",4.6
97,"Samsung Galaxy F07 (Green, 64 GB)","₹7,499",4.3
98,"realme P4 Pro 5G (Dark Oak Wood, 256 GB)","₹28,999",4.4
99,"realme P4 Pro 5G (Dark Oak Wood, 256 GB)","₹26,999",4.4
